,date_mutation,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,longitude_appart,latitude_appart,Nom_commune,Code_postal,chef_lieu,longitude_cl,latitude_cl,distance
2293,29/07/2021,175000.0,91,4,-0.565609,47.481815,angers,49100,angers,-0.556221025,47.47665708,0.9107995089210896
2294,21/07/2021,90000.0,31,1,-0.566959,47.480584,angers,49100,angers,-0.556221025,47.47665708,0.9196133048367806
2295,29/07/2021,250000.0,71,3,-0.562628,47.474524,angers,49100,angers,-0.556221025,47.47665708,0.5380351509016229
2296,06/08/2021,203000.0,69,3,-0.567563,47.478217,angers,49100,angers,-0.556221025,47.47665708,0.8723252646346041
2297,20/07/2021,183250.0,83,4,-0.574843,47.485976,angers,49100,angers,-0.556221025,47.47665708,1.744533147357308
2298,23/07/2021,150000.0,40,2,-0.565593,47.483881,angers,49100,angers,-0.556221025,47.47665708,1.069596794036375
2299,20/07/2021,122825.0,49,2,-0.565842,47.471097,angers,49100,angers,-0.556221025,47.47665708,0.9529452094118166
2300,27/07/2021,220000.0,64,3,-0.580297,47.472249,angers,49000,angers,-0.556221025,47.47665708,1.8798585119604705
2301,12/07/2021,109000.0,52,2,-0.580874,47.474232,angers,49000,angers,-0.556221025,47.47665708,1.877766637794954
2302,12/08/2021,140000.0,45,2,-0.567305,47.48624,angers,49100,angers,-0.556221025,47.47665708,1.3538971272832343
2303,10/08/2021,114600.0,31,1,-0.564174,47.485058,angers,49100,angers,-0.556221025,47.47665708,1.1098172527467827
2304,06/08/2021,270000.0,83,4,-0.586655,47.472397,angers,49000,angers,-0.556221025,47.47665708,2.3424957007894114
2305,28/07/2021,220000.0,62,3,-0.569356,47.474935,angers,49100,angers,-0.556221025,47.47665708,1.0084328264816544
2306,30/07/2021,190000.0,75,3,-0.570782,47.4729,angers,49100,angers,-0.556221025,47.47665708,1.1743985372748873
2307,03/08/2021,150000.0,44,2,-0.566087,47.491377,angers,49100,angers,-0.556221025,47.47665708,1.7975624339384104
2308,09/07/2021,135000.0,36,2,-0.556311,47.479113,angers,49100,angers,-0.556221025,47.47665708,0.2731337831493106
2309,29/07/2021,199990.0,73,3,-0.567299,47.473088,angers,49100,angers,-0.556221025,47.47665708,0.9245383031881954
2310,13/08/2021,110000.0,41,2,-0.59281,47.474205,angers,49000,angers,-0.556221025,47.47665708,2.771470902750392
2311,25/08/2021,142500.0,46,2,-0.596054,47.47269,angers,49000,angers,-0.556221025,47.47665708,3.0348227881726313
2312,05/08/2021,125000.0,25,1,-0.581533,47.47401,angers,49000,angers,-0.556221025,47.47665708,1.93055187231512
2313,02/08/2021,230000.0,82,4,-0.560695,47.488547,angers,49100,angers,-0.556221025,47.47665708,1.3642526611884986
2314,11/08/2021,144000.0,55,2,-0.573909,47.48516,angers,49100,angers,-0.556221025,47.47665708,1.6343223678662528
2315,25/08/2021,84000.0,41,2,-0.59281,47.474205,angers,49000,angers,-0.556221025,47.47665708,2.771470902750392
2316,30/08/2021,152000.0,62,3,-0.596054,47.47269,angers,49000,angers,-0.556221025,47.47665708,3.0348227881726313
2317,25/08/2021,200000.0,61,3,-0.565868,47.479463,angers,49100,angers,-0.556221025,47.47665708,0.7912355198033063
2318,27/08/2021,91000.0,28,1,-0.572741,47.494495,angers,49100,angers,-0.556221025,47.47665708,2.3416329126702347
2319,06/08/2021,260000.0,83,4,-0.580297,47.472249,angers,49000,angers,-0.556221025,47.47665708,1.8798585119604705
2320,06/08/2021,93000.0,33,1,-0.577653,47.481146,angers,49100,angers,-0.556221025,47.47665708,1.6907464613334504
2321,25/08/2021,134000.0,55,3,-0.579388,47.472968,angers,49000,angers,-0.556221025,47.47665708,1.7938362743827796
2322,23/08/2021,92000.0,46,2,-0.59281,47.474205,angers,49000,angers,-0.556221025,47.47665708,2.771470902750392
2323,20/08/2021,130000.0,72,4,-0.579077,47.473194,angers,49000,angers,-0.556221025,47.47665708,1.7653688633912548
2324,27/08/2021,228000.0,66,3,-0.561465,47.490577,angers,49100,angers,-0.556221025,47.47665708,1.5972883411174066
2325,26/08/2021,115000.0,30,1,-0.573821,47.47411,angers,49100,angers,-0.556221025,47.47665708,1.3565517010845207
