code_commune,annee_mutation,valeur_fonciere,nom_commune,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
7,2020,3184440,Angers,40,1,108,-0.553165,47.47684
7,2020,3184440,Angers,40,1,178,-0.553165,47.47684
7,2020,3184440,Angers,28,2,82,-0.553165,47.47684
7,2020,3184440,Angers,40,2,178,-0.553165,47.47684
7,2020,3184440,Angers,40,2,82,-0.553165,47.47684
7,2020,3184440,Angers,40,2,108,-0.553165,47.47684
7,2020,3184440,Angers,28,2,108,-0.553165,47.47684
7,2020,3184440,Angers,40,2,295,-0.553165,47.47684
7,2020,3184440,Angers,40,1,1109,-0.553165,47.47684
7,2020,3184440,Angers,10,1,82,-0.553165,47.47684
7,2020,3184440,Angers,10,1,295,-0.553165,47.47684
7,2020,3184440,Angers,40,2,1109,-0.553165,47.47684
7,2020,3184440,Angers,40,1,157,-0.553165,47.47684
7,2020,420000,Angers,75,2,144,-0.552255,47.46217
7,2020,645000,Angers,27,1,70,-0.560439,47.465338
7,2020,645000,Angers,12,1,70,-0.560439,47.465338
7,2020,645000,Angers,27,1,70,-0.560439,47.465338
7,2020,645000,Angers,14,1,70,-0.560439,47.465338
7,2020,645000,Angers,17,1,70,-0.560439,47.465338
7,2020,645000,Angers,17,1,70,-0.560439,47.465338
7,2020,310000,Angers,51,3,284,-0.52759,47.454451
7,2020,310000,Angers,39,1,284,-0.52759,47.454451
7,2020,310000,Angers,39,1,284,-0.52759,47.454451
7,2020,400000,Angers,29,2,164,-0.559701,47.465539
7,2020,400000,Angers,30,2,164,-0.559701,47.465539
7,2020,400000,Angers,30,2,164,-0.559701,47.465539
7,2020,400000,Angers,19,1,164,-0.559701,47.465539
7,2020,400000,Angers,24,1,164,-0.559701,47.465539
7,2020,400000,Angers,24,1,164,-0.559701,47.465539
7,2020,535000,Angers,70,3,508,-0.565658,47.482425
7,2020,535000,Angers,35,2,508,-0.565658,47.482425
7,2020,535000,Angers,35,2,508,-0.565658,47.482425
7,2020,535000,Angers,70,3,508,-0.565658,47.482425
7,2020,535000,Angers,35,2,508,-0.565658,47.482425
7,2020,535000,Angers,40,2,508,-0.565658,47.482425
7,2020,100474.91,Angers,122,1,855,-0.561009,47.472717
7,2020,255000,Angers,44,2,134,-0.595292,47.473541
7,2020,255000,Angers,32,2,134,-0.595292,47.473541
7,2020,255000,Angers,40,2,134,-0.595292,47.473541
